git_commit,label,block_width,block_height
"4113be8accf34aa57ce186f3e236d1c0c14ffd5b", "original CDKLM OpenCL",    16, 8
"964e98a5831950724002674b216dfe28f2d7ffd2", "tuned CDKLM OpenCL",       32, 8
