timestamp, temperature.gpu, memory.free [MiB], fan.speed [%], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.graphics [MHz], clocks.current.memory [MHz]
2019/10/25 20:25:59.548, 39, 12198 MiB, [Not Supported], 0 %, 27.29 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:25:59.607, 39, 12198 MiB, [Not Supported], 0 %, 27.05 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:25:59.667, 39, 12198 MiB, [Not Supported], 6 %, 27.05 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:25:59.726, 39, 12198 MiB, [Not Supported], 6 %, 27.05 W, 417 MHz, 417 MHz, 715 MHz
2019/10/25 20:25:59.788, 39, 12198 MiB, [Not Supported], 6 %, 27.54 W, 607 MHz, 607 MHz, 715 MHz
2019/10/25 20:25:59.845, 39, 12198 MiB, [Not Supported], 0 %, 29.71 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:25:59.900, 39, 12198 MiB, [Not Supported], 0 %, 31.90 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:25:59.958, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.012, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.066, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.119, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.176, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.230, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.284, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.338, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.392, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.446, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.500, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.556, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.610, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.664, 39, 12198 MiB, [Not Supported], 0 %, 32.64 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.718, 39, 12198 MiB, [Not Supported], 0 %, 32.65 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.772, 39, 12198 MiB, [Not Supported], 0 %, 32.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.826, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 20:26:00.880, 39, 12198 MiB, [Not Supported], 0 %, 32.39 W, 1189 MHz, 1189 MHz, 715 MHz
