git_commit,label,block_width,block_height
"af1024ffa45583e0501d045ed7161b6870d50a9b", "original CDKLM OpenCL",    16, 8
"51379ca15adc7b671d45b1b3daaa06cfad24a284", "tuned CDKLM OpenCL",       32, 8
