git_commit,label,block_width,block_height
"4113be8accf34aa57ce186f3e236d1c0c14ffd5b", "original CDKLM OpenCL",    32, 4
"51379ca15adc7b671d45b1b3daaa06cfad24a284", "tuned CDKLM OpenCL",       32, 12
