timestamp, temperature.gpu, memory.free [MiB], fan.speed [%], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.graphics [MHz], clocks.current.memory [MHz]
2019/10/25 06:38:27.031, 36, 12198 MiB, [Not Supported], 0 %, 26.56 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 06:38:27.089, 36, 12198 MiB, [Not Supported], 0 %, 26.32 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 06:38:27.149, 35, 12198 MiB, [Not Supported], 6 %, 26.32 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 06:38:27.208, 35, 12198 MiB, [Not Supported], 6 %, 26.32 W, 417 MHz, 417 MHz, 715 MHz
2019/10/25 06:38:27.270, 35, 12198 MiB, [Not Supported], 6 %, 26.81 W, 607 MHz, 607 MHz, 715 MHz
2019/10/25 06:38:27.328, 35, 12198 MiB, [Not Supported], 0 %, 29.00 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.382, 35, 12198 MiB, [Not Supported], 0 %, 30.95 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.440, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.494, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.548, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.602, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.658, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.712, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.766, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.820, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.874, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.928, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:27.982, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.038, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.092, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.146, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.200, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.254, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.308, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.362, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.418, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.472, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.526, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.581, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.638, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.692, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.746, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.800, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.854, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.908, 35, 12198 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:28.961, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.018, 35, 12198 MiB, [Not Supported], 0 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.072, 35, 12198 MiB, [Not Supported], 0 %, 31.66 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.125, 35, 12198 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.179, 35, 12198 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.233, 35, 12198 MiB, [Not Supported], 0 %, 31.66 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.287, 35, 12198 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.341, 35, 12198 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.398, 35, 12198 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.451, 35, 12180 MiB, [Not Supported], 0 %, 31.41 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.535, 35, 12135 MiB, [Not Supported], 0 %, 31.90 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.589, 35, 11935 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.643, 35, 11935 MiB, [Not Supported], 3 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.698, 35, 11935 MiB, [Not Supported], 3 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.752, 35, 11935 MiB, [Not Supported], 3 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.806, 35, 11935 MiB, [Not Supported], 3 %, 31.68 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.860, 35, 11935 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.914, 35, 11935 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:29.968, 35, 11935 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.022, 35, 11935 MiB, [Not Supported], 0 %, 31.66 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.077, 35, 11935 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.132, 35, 11935 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.185, 35, 11935 MiB, [Not Supported], 0 %, 31.66 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.239, 35, 11935 MiB, [Not Supported], 0 %, 31.43 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.293, 35, 11935 MiB, [Not Supported], 0 %, 31.42 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.347, 35, 11935 MiB, [Not Supported], 0 %, 31.66 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.401, 35, 11813 MiB, [Not Supported], 0 %, 44.76 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.457, 35, 11813 MiB, [Not Supported], 0 %, 97.65 W, 1189 MHz, 1189 MHz, 715 MHz
2019/10/25 06:38:30.511, 36, 11813 MiB, [Not Supported], 57 %, 110.19 W, 1316 MHz, 1316 MHz, 715 MHz
2019/10/25 06:38:30.565, 36, 11813 MiB, [Not Supported], 57 %, 112.36 W, 1316 MHz, 1316 MHz, 715 MHz
2019/10/25 06:38:30.619, 37, 11813 MiB, [Not Supported], 57 %, 113.74 W, 1316 MHz, 1316 MHz, 715 MHz
2019/10/25 06:38:30.673, 37, 11813 MiB, [Not Supported], 100 %, 114.07 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:30.727, 37, 11813 MiB, [Not Supported], 100 %, 114.24 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:30.781, 37, 11813 MiB, [Not Supported], 100 %, 115.26 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:30.835, 37, 11813 MiB, [Not Supported], 100 %, 115.93 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:30.889, 37, 11813 MiB, [Not Supported], 100 %, 116.90 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:30.942, 37, 11813 MiB, [Not Supported], 100 %, 117.62 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:30.999, 37, 11813 MiB, [Not Supported], 100 %, 117.14 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.053, 37, 11813 MiB, [Not Supported], 100 %, 117.62 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.107, 37, 11813 MiB, [Not Supported], 100 %, 117.38 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.161, 37, 11813 MiB, [Not Supported], 100 %, 117.14 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.215, 37, 11813 MiB, [Not Supported], 100 %, 117.87 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.269, 37, 11813 MiB, [Not Supported], 100 %, 117.38 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.323, 37, 11813 MiB, [Not Supported], 85 %, 107.53 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.379, 37, 11813 MiB, [Not Supported], 85 %, 117.38 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.433, 38, 11813 MiB, [Not Supported], 85 %, 117.14 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.487, 38, 11813 MiB, [Not Supported], 100 %, 117.86 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.541, 38, 11813 MiB, [Not Supported], 100 %, 117.62 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.595, 38, 11813 MiB, [Not Supported], 100 %, 117.86 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.649, 38, 11813 MiB, [Not Supported], 100 %, 117.62 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.703, 38, 11813 MiB, [Not Supported], 100 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.759, 38, 11813 MiB, [Not Supported], 100 %, 119.07 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.813, 38, 11813 MiB, [Not Supported], 100 %, 119.07 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.867, 38, 11813 MiB, [Not Supported], 100 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.921, 38, 11813 MiB, [Not Supported], 100 %, 119.07 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:31.975, 38, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.029, 38, 11813 MiB, [Not Supported], 100 %, 119.07 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.083, 38, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.139, 38, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.193, 38, 11813 MiB, [Not Supported], 100 %, 79.15 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.247, 38, 11813 MiB, [Not Supported], 100 %, 118.83 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.301, 38, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.355, 38, 11813 MiB, [Not Supported], 91 %, 119.73 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.409, 38, 11813 MiB, [Not Supported], 91 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.463, 38, 11813 MiB, [Not Supported], 91 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.519, 38, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.573, 38, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.627, 38, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.681, 38, 11813 MiB, [Not Supported], 100 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.735, 38, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.789, 38, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.843, 38, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.899, 38, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:32.953, 39, 11813 MiB, [Not Supported], 100 %, 120.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.007, 39, 11813 MiB, [Not Supported], 100 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.060, 39, 11813 MiB, [Not Supported], 100 %, 94.57 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.114, 38, 11813 MiB, [Not Supported], 100 %, 113.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.168, 38, 11813 MiB, [Not Supported], 87 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.222, 39, 11813 MiB, [Not Supported], 87 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.279, 39, 11813 MiB, [Not Supported], 87 %, 120.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.333, 39, 11813 MiB, [Not Supported], 100 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.386, 39, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.441, 39, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.495, 39, 11813 MiB, [Not Supported], 100 %, 119.56 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.549, 39, 11813 MiB, [Not Supported], 100 %, 120.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.603, 39, 11813 MiB, [Not Supported], 100 %, 119.32 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.658, 39, 11813 MiB, [Not Supported], 100 %, 120.04 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.713, 39, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.766, 39, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
2019/10/25 06:38:33.820, 39, 11813 MiB, [Not Supported], 100 %, 119.80 W, 1328 MHz, 1328 MHz, 715 MHz
