timestamp, temperature.gpu, memory.free [MiB], fan.speed [%], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.graphics [MHz], clocks.current.memory [MHz]
2019/10/25 20:20:48.743, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:48.797, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:48.852, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:48.906, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:48.960, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.014, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.068, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.122, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.176, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.232, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.286, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.340, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.394, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.448, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.502, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.556, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.612, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.666, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.720, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.774, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.828, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.882, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.936, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:49.992, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.046, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.100, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.154, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.208, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.262, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.316, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.372, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.426, 39, 12198 MiB, [Not Supported], 0 %, 27.53 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.480, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.534, 38, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.588, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.642, 38, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.696, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.751, 38, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.806, 39, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.859, 38, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.913, 38, 12198 MiB, [Not Supported], 0 %, 27.54 W, 531 MHz, 531 MHz, 715 MHz
2019/10/25 20:20:50.967, 38, 12198 MiB, [Not Supported], 0 %, 27.05 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.022, 38, 12198 MiB, [Not Supported], 0 %, 26.81 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.075, 38, 12198 MiB, [Not Supported], 0 %, 26.81 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.129, 38, 12198 MiB, [Not Supported], 0 %, 26.56 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.183, 38, 12198 MiB, [Not Supported], 0 %, 26.56 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.237, 38, 12198 MiB, [Not Supported], 0 %, 26.81 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.293, 38, 12198 MiB, [Not Supported], 0 %, 26.56 W, 405 MHz, 405 MHz, 715 MHz
2019/10/25 20:20:51.347, 38, 12198 MiB, [Not Supported], 0 %, 26.81 W, 405 MHz, 405 MHz, 715 MHz
